Event ID,Station,Primary station,Event start,Event end,Duration min,Rain total mm,Network mean rain mm,Network max rain mm,Network sum rain mm,Peak 3min mm,Mean intensity mm/h,Available station count,Available stations,Rainy station count,Rainy stations,Station event totals mm,Typology
1130,GEOP,GEOP,2024-04-09 16:12:00,2024-04-09 23:00:00,411.0,1.79,1.12,1.79,3.36,0.26,0.2613,3,"GEOP, GRVN, ROUV",3,"GEOP, GRVN, ROUV",GEOP:1.79; GRVN:0.84; ROUV:0.73,multi_station
1140,GEOP,GEOP,2024-04-16 17:30:51,2024-04-16 23:57:00,389.1,5.83,5.83,5.83,5.83,0.53,0.8989,1,GEOP,1,GEOP,GEOP:5.83,standard
1141,GRVN,GRVN,2024-04-18 00:00:00,2024-04-18 06:06:00,369.0,3.0,3.0,3.0,3.0,0.13,0.4878,1,GRVN,1,GRVN,GRVN:3.00,standard
1142,GRVN,GRVN,2024-04-19 21:03:00,2024-04-20 02:42:00,342.0,3.88,3.88,3.88,3.88,0.32,0.6807,1,GRVN,1,GRVN,GRVN:3.88,standard
1152,GEOP,GEOP,2024-04-28 06:00:51,2024-04-29 07:36:00,1538.2,9.84,9.84,9.84,9.84,0.22,0.3838,1,GEOP,1,GEOP,GEOP:9.84,long_moderate
1154,GRVN,GRVN,2024-05-02 04:36:00,2024-05-02 13:00:00,507.0,23.3,23.3,23.3,23.3,3.0,2.7574,1,GRVN,1,GRVN,GRVN:23.30,high_intensity
1159,GEOP,GEOP,2024-05-04 21:18:51,2024-05-05 08:57:00,701.1,2.1,2.1,2.1,2.1,0.14,0.1797,1,GEOP,1,GEOP,GEOP:2.10,standard
1161,GEOP,GEOP,2024-05-05 21:12:51,2024-05-06 14:00:00,1010.1,16.83,16.83,16.83,16.83,0.39,0.9997,1,GEOP,1,GEOP,GEOP:16.83,long_high_total
1162,GEOP,GEOP,2024-05-06 19:09:51,2024-05-08 03:15:00,1928.2,13.96,13.96,13.96,13.96,0.23,0.4344,1,GEOP,1,GEOP,GEOP:13.96,long_high_total
1168,GRVN,GRVN,2024-05-15 13:30:00,2024-05-15 22:03:00,516.0,3.89,3.89,3.89,3.89,0.27,0.4523,1,GRVN,1,GRVN,GRVN:3.89,standard
1170,GRVN,GRVN,2024-05-16 04:18:00,2024-05-16 06:09:00,114.0,1.44,1.44,1.44,1.44,0.53,0.7579,1,GRVN,1,GRVN,GRVN:1.44,standard
1171,GRVN,GRVN,2024-05-16 08:51:00,2024-05-16 11:18:00,150.0,1.51,1.51,1.51,1.51,0.12,0.604,1,GRVN,1,GRVN,GRVN:1.51,standard
1172,GRVN,GRVN,2024-05-16 14:12:00,2024-05-17 03:09:00,780.0,4.3,4.3,4.3,4.3,0.13,0.3308,1,GRVN,1,GRVN,GRVN:4.30,standard
1177,GEOP,GEOP,2024-05-20 18:48:51,2024-05-21 01:30:00,404.1,1.1,1.1,1.1,1.1,0.09,0.1633,1,GEOP,1,GEOP,GEOP:1.10,standard
1182,LEXP,LEXP,2024-05-22 19:03:00,2024-05-22 21:12:00,132.0,5.95,5.95,5.95,5.95,0.86,2.7045,1,LEXP,1,LEXP,LEXP:5.95,high_intensity
1186,GEOP,GEOP,2024-05-24 15:48:51,2024-05-25 03:27:00,701.1,5.09,5.09,5.09,5.09,0.37,0.4356,1,GEOP,1,GEOP,GEOP:5.09,standard
